;full_text;created_at;retweet_count;favorite_count
1692;@FlagrantFreddy 🙌 🙌 🙌;Thu Oct 11 20:44:33 +0000 2018;1;1
1691;@Nofreakingchan2 As soon as we can!;Thu Oct 11 20:48:58 +0000 2018;0;1
1690;"Honored to be recognized by the @UN as a 2018 ""Champion of the Earth."" Thank you for helping to raise awareness for global efforts that are leading the charge in building a more sustainable future. https://t.co/5QTn4WJnmi";Thu Oct 11 21:00:26 +0000 2018;95;298
1689;@CuriouslyEmily @SoWrongItsNom @honestburgers Hey Emily! So happy you were able to try The #BeyondBurger. We can't wait to be more accessible internationally and will be in more than 350 Tesco stores later this!;Fri Oct 12 17:25:22 +0000 2018;0;0
1688;@ray3284 @TailgatingChall We can't wait for you to try new recipes with our products! Feel free to check out our recipe page for more inspo: https://t.co/ARJuJuoau7;Fri Oct 12 17:27:57 +0000 2018;0;2
1687;@nacoleswenson71 @TailgatingChall Congratulations Nacole!;Fri Oct 12 17:37:51 +0000 2018;0;2
1686;@DaniDankert So glad you are blown away! Can't wait for you to have many more 😋;Fri Oct 12 19:32:32 +0000 2018;0;2
1685;@WeMustBeNets We're sorry to hear about this experience. Please email us at ethanandteam@beyondmeat.com so we can make things right.;Fri Oct 12 19:47:49 +0000 2018;0;0
1684;@JonBoisvert1 We'd love for you to try The #BeyondBurger, our fresh burger patty sold in the meat case! Check it out here: https://t.co/sYwugwf1ur;Fri Oct 12 19:57:43 +0000 2018;0;2
1683;.@dlopezdemedrano 😂 https://t.co/EYtlL5mjQC;Fri Oct 12 20:52:04 +0000 2018;19;137
1682;"Cook 'em, stack 'em, eat 'em! 

Time to make these stacked tacos for your tailgate!  Full recipe here: https://t.co/GnzDlmyvad https://t.co/kMc0252xwR";Sat Oct 13 19:01:01 +0000 2018;10;60
1681;ICYMI: Alex Honnold is one of our #FutureOfProtein Ambassadors and we could not be more proud! https://t.co/ao2VegFcuz;Sun Oct 14 23:15:05 +0000 2018;14;80
1680;The best kind of full belly 🍔🌱 https://t.co/CUWZWrkSFA;Mon Oct 15 19:22:48 +0000 2018;6;71
1679;The home-style comfort food experts at @blackbeardiner are proving that plant-based burgers are just as much a comfort food as their beefy counterpart. The #BeyondBurger is now available at all 118 Black Bear Diner locations, so go get some comfort on a bun! https://t.co/NBc07nbNjn;Mon Oct 15 23:09:01 +0000 2018;6;47
1678;@leahmaj413 So glad you enjoyed The #BeyondBurger!;Tue Oct 16 17:28:48 +0000 2018;0;1
1677;@LassoBelli Hey Beli! Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;Tue Oct 16 17:29:59 +0000 2018;0;1
1676;@securitydee_ Can't wait! Let us know how delicious you make them 😋;Tue Oct 16 17:34:19 +0000 2018;0;0
1675;@shawndavidtampa @davedresden @umamiburger @ImpossibleFoods What a great nickname 😏;Tue Oct 16 17:35:42 +0000 2018;0;0
1674;@bglittlekitchen 🙌  Check out our recipe page for delicious Beyond Meat inspired meals: https://t.co/ARJuJuFLSH;Tue Oct 16 17:43:14 +0000 2018;0;1
1673;"The @UnitedNations honored Beyond Meat as a Champion of the Earth, for our ""innovative development of a popular alternative to beef but without the terribly damaging environmental and climate impacts.""

See our CEO &amp; Founder's acceptance speech here ➡️ https://t.co/l4buVnOKlH https://t.co/iwcntr0iEl";Tue Oct 16 23:52:01 +0000 2018;26;133
1672;"Carbo-loading because... #NationalPastaDay 😏

Get this #BeyondSausage recipe from @Vibrantkitchen here ➡️ https://t.co/iOTZICdCKO https://t.co/C9t9i1PyRB";Wed Oct 17 19:15:07 +0000 2018;5;37
1671;@fargojack @Vibrantkitchen It's flying off shelves faster than expected, but we are taking the necessary steps to pick up production. For now, we reco calling your store ahead of time to find out when their next shipment is coming in. We've heard some stores will set some aside for customers. Thanks!;Wed Oct 17 19:45:35 +0000 2018;0;2
1670;@jaredlipof @UMich Thanks for reaching out!  Although I don't have an exact timeline, we are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Thu Oct 18 16:21:41 +0000 2018;0;1
1669;@nox_dominus #BeyondSausage is flying off shelves faster than expected, but we are taking all of the necessary steps to pick up production. In the meantime, we recommend calling your store ahead of time to find out when their next shipment is coming in and asking if they can set some aside.;Thu Oct 18 16:31:47 +0000 2018;0;0
1668;@NThompsonx The #BeyondBurger will be in more than 350 Tesco stores in the UK later this year. Stay tuned for more!;Thu Oct 18 16:33:35 +0000 2018;0;1
1667;@vegantboy Glad to see you found The #BeyondBurger at Publix! We are working to make our products more convenient at more locations.  It's great to see you are benefitting from the effects of these efforts. Enjoy!;Thu Oct 18 16:41:29 +0000 2018;0;1
1666;@blartha_stewart @the_fake_danny @VeganSportsChic @NeverForsaken14 @gardein Aside from our chicken strips, all of our products are soy-free, gluten-free, and GMO-free.  Check out all of our products and a full list of ingredients here: https://t.co/ARJuJuFLSH;Thu Oct 18 16:46:28 +0000 2018;0;3
1665;@bsaucier05 Hey Brittany, apologies for the frustration. We have seen a higher than expected demand for our products over the last few months.  We are working hard to ramp up production and keep shelves full. Thank you for your support and patience at this time.;Thu Oct 18 16:52:51 +0000 2018;0;0
1664;@WSW268 It's so great that you are seeing the efforts of our increased production. Can't wait for you to eat many more Beyond Sausages!;Thu Oct 18 16:56:23 +0000 2018;0;1
1663;@kashoinstyle1 Yummmm tacos 😋;Thu Oct 18 16:57:06 +0000 2018;0;0
1662;@julzvern14 So happy you enjoyed your first of many Beyond Burgers 💃;Thu Oct 18 17:00:29 +0000 2018;0;1
1661;@robstu We will be in Canadian grocery stores as soon as we can!;Thu Oct 18 17:00:55 +0000 2018;0;2
1660;@DansOnRoad We're seeing much higher-than-expected demand for the Beyond Burger in the US and where we’ve already placed it in the UK. We are taking steps to make sure that when we do launch, we will be sure to have enough product to keep the shelves full. More updates soon!;Thu Oct 18 17:02:26 +0000 2018;0;2
1659;@marcelscherf @_ChristianGross @bareburger_uae Hope you enjoyed it!;Thu Oct 18 17:02:48 +0000 2018;0;0
1658;@PaigelykYoung YUM 😋;Thu Oct 18 17:03:39 +0000 2018;0;1
1657;@ChukwumaOdelugo @Vibrantkitchen Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;Thu Oct 18 17:06:09 +0000 2018;0;2
1656;@EttoreToscani @UMich Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;Thu Oct 18 17:08:12 +0000 2018;1;5
1655;📍Day 2 @worldztribe - a summit and community that unites creative minds to discuss how to shape a better tomorrow. https://t.co/7axNFLXCWD;Thu Oct 18 18:39:02 +0000 2018;4;63
1654;Our meat addiction is going to kill our chances of beating climate change via @FastCompany https://t.co/7mDv9Y6Iw6;Fri Oct 19 22:22:59 +0000 2018;57;101
1653;@MattRPRT @FastCompany #truth;Fri Oct 19 22:25:23 +0000 2018;0;3
1652;@itheprasad @UMich Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;Fri Oct 19 23:11:23 +0000 2018;0;12
1651;@TheKindTruth1 @kroger We are very sorry that this happened. Please email us at ethanandteam@beyondmeat.com so we can make things right.;Fri Oct 19 23:17:44 +0000 2018;0;0
1650;@rfd177 Thanks for reaching out. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Fri Oct 19 23:28:29 +0000 2018;0;1
1649;@bglittlekitchen 🙌;Fri Oct 19 23:31:38 +0000 2018;0;1
1648;@TanaS623 @UMich Our apologies foe that. Thanks for reaching out. Please email us at ethanandteam@beyondmeat.com so we can make things right.;Fri Oct 19 23:32:49 +0000 2018;0;0
1647;We made it to fry yayyy!!!🍟 @nextlevelburger https://t.co/MmTHClycJY;Sat Oct 20 01:30:05 +0000 2018;9;61
1646;"Saturday plans: sliding these sliders right onto our plate 🍔

Full recipe here: https://t.co/H0dTxz0csa https://t.co/yw7gm11qAC";Sat Oct 20 20:13:26 +0000 2018;6;55
1645;@ham954 Hey Pete, happy to inform you that we use vegan cheese and butter for our recipes. Enjoy!;Mon Oct 22 16:36:01 +0000 2018;0;3
1644;@MikeSDarnell Thanks for reaching out, Michael. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Mon Oct 22 16:37:57 +0000 2018;0;2
1643;@_choosetobekind It's so fun seeing the various ways people use our #BeyondSausage! Looks delicious 😋;Mon Oct 22 18:08:36 +0000 2018;0;1
1642;@moneymegzzz 🙌🙌🙌;Mon Oct 22 19:30:22 +0000 2018;0;1
1641;@mattinwpg @aristalain Delicious 😍;Mon Oct 22 19:56:31 +0000 2018;0;2
1640;@VeganSportsChic @Publix Thank you so much for your support, we are so happy you got your hands on The #BeyondBurger!;Mon Oct 22 20:01:37 +0000 2018;0;2
1639;@StrongStyleCast Thanks for reaching out! We are still producing Beyond Chicken Strips however, demand is at an all-time high.  We are doing everything we can to ramp up production to fill more shelves. Your patience and support is appriciated!;Mon Oct 22 20:03:52 +0000 2018;0;2
1638;Lettuce eat plants topped with burgers made from plants 🌱 #MondayMotivation https://t.co/skWckwO4j8;Mon Oct 22 23:54:01 +0000 2018;8;89
1637;"Want to know the full environmental impact of The #BeyondBurger vs beef? 

Click here ➡️ https://t.co/C5mkbCx77E https://t.co/lNRfWX2NNz";Tue Oct 23 00:21:03 +0000 2018;65;162
1636;@subliminalman @McFunkypants Must be a very smart seven year old that you're lucky to be raising! We'd love for  your family to try our products. Here are some recipe ideas to help you get started: https://t.co/ARJuJuFLSH;Tue Oct 23 17:48:15 +0000 2018;0;1
1635;@whilefun @McFunkypants Hey Richard, here is a link to our store locator to help find a retailer or restaurant near you: https://t.co/DpCtErzqfZ;Tue Oct 23 17:54:45 +0000 2018;0;0
1634;"Today we welcome Tennessee Titans linebacker @dmorg91 &amp; plant-based chef @ChefCharity to our fam as official Beyond Ambassadors! Derrick &amp; Charity Morgan are major champions of the #plantbased movement and have introduced over 20 NFL athletes to the #FutureofProtein. 

#GoBeyond https://t.co/HKfbbrKs6B";Tue Oct 23 18:38:11 +0000 2018;42;145
1633;@PhitPhillyGW We're so happy to hear you enjoyed The #BeyondBurger!;Tue Oct 23 22:04:17 +0000 2018;0;2
1632;@CaraDeCarlo @Wegmans @WholeFoods @Target Hey Cara, Thanks for reaching out.  We've noticed they have been flying off the shelves and are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Tue Oct 23 22:55:47 +0000 2018;0;0
1631;@sirkensingtons @shelbumblebee @WholeFoods We love topping The #BeyondBurger with @sirkensingtons spreads, great choice 😋;Tue Oct 23 23:02:17 +0000 2018;1;3
1630;@amy_mollerxo Valid question 😉;Tue Oct 23 23:09:36 +0000 2018;0;1
1629;@WMCSIMatters We will be in Canadian grocery stores as soon as we can!;Tue Oct 23 23:10:21 +0000 2018;0;4
1628;@middlbasketball @BeyondMeatTruck @O_BREEZY_17 @coachmiddlebrks @TGIFridays Bon appétit 😗;Tue Oct 23 23:12:52 +0000 2018;0;1
1627;@itsok2bgreen Thanks for reaching out to us! We appreciate your feedback regarding our packaging for our products. We are currently working on improving our packaging and making it more environmentally friendly, and hope to bring these improvements to you soon!;Tue Oct 23 23:16:15 +0000 2018;0;3
1626;"How does our #BeyondAmbassador, @ChefCharity, make her food more accessible? She sticks with the flavors &amp; dishes people know &amp; love but uses only plant-based ingredients. 
#GoBeyond

More about how she influences the eating habits of NFL players here ➡️  https://t.co/bvsdhBhmY7 https://t.co/YENTlbV2wt";Tue Oct 23 23:55:03 +0000 2018;8;39
1625;"After #BeyondAmbassador @dmorg91 shifted to a plant-based diet, he experienced reduced inflammation, faster recovery times &amp; saw a huge difference in his performance on the 🏈 field.

He has introduced 20+ Titans to the #FutureofProtein. Read more here: https://t.co/bvsdhBhmY7 https://t.co/w6q828cYFE";Wed Oct 24 01:36:04 +0000 2018;12;55
1624;More and more athletes are eating plant-based to increase stamina, lung capacity and have quicker recovery times... don't believe us? Read about it here➡️  https://t.co/pGy75RbEgo;Wed Oct 24 17:01:19 +0000 2018;37;123
1623;@robertklevens Hey Robert, sorry to hear about your difficulty finding Beyond Chicken Strips. We've notice product is flying off the shelves and are doing everything we can to ramp up production. We hope you can bear with us a little longer as we work through these kinks!;Wed Oct 24 17:14:10 +0000 2018;0;0
1622;@MarcinMolczyk Our goal is to make the #FutureOfProtein available to as many people as possible. We've begun working with distributors on a limited basis to get our products out to a few countries, including some in Europe. Stay tuned for more!;Wed Oct 24 17:16:49 +0000 2018;0;1
1621;@NotTroyThomas Gotta buckle them up and keep those delicious sausages safe 😉;Wed Oct 24 18:42:23 +0000 2018;0;0
1620;@stardustfallout @veggystreet1 Can't wait!;Wed Oct 24 18:43:09 +0000 2018;0;0
1619;@zulcuisine @vegankidneyboy Tasty 😊;Wed Oct 24 18:44:20 +0000 2018;0;1
1618;@laceyraelowe Sounds like a perfect Sunday, love the creativity!;Wed Oct 24 19:07:28 +0000 2018;0;0
1617;@carllachat @NimaYaghmaei @Greenway_Foods We're happy too hear you and your friends enjoyed The #BeyondBurger!;Wed Oct 24 19:09:52 +0000 2018;0;0
1616;@EvMcCee @ByronMurphy8 @FastCompany @WholeFoods @meijer Hey Evan, thanks for reaching out.  We've noticed supply flies off shelves as soon as it is stocked. We are doing everything we can to ramp up production to make product more accessible. We appreciate your patience and hope you can bear with us while we work through these kinks!;Wed Oct 24 19:13:18 +0000 2018;0;0
1615;@brockdining @pubrarian 🎉 🎉 🎉;Wed Oct 24 19:14:21 +0000 2018;0;1
1614;@metrostationhoe Practice makes perfect! Congrats on your delicious meal 😋;Wed Oct 24 19:16:42 +0000 2018;0;0
1613;"@tehseowner @CaraDeCarlo @VEEGAINS We apologize for your frustration. We are experiencing an all-time high in demand for all of our products and are doing everything we can to keep shelves full. Your patience &amp; support is much appreciated, we hope you can bear with us while we work through these kinks!";Wed Oct 24 19:31:36 +0000 2018;0;2
1612;@Mimisaurus85 We will be in 250 Tesco stores in the UK later this year, stay tuned for more!;Wed Oct 24 19:33:29 +0000 2018;0;1
1611;@megan_cauley It's never too early to eat a #BeyondBurger 😉;Wed Oct 24 19:37:56 +0000 2018;0;1
1610;@VEEGAINS Thanks for reaching out. We are experiencing an all-time high in demand and have noticed product if flying off shelves.  We are doing everything we can to ramp up production to help keep shelves full.  We appreciate your patience and hope you can bear with us a little longer!;Wed Oct 24 19:52:38 +0000 2018;0;1
1609;@dulinitjcstyle @HelloKitty2788 @nickjlo @_Jamie_Scott Hey J.C., we're happy to hear you enjoy The #BeyondBurger!  Here is a link to our store locator to help you find more restaurants that have it available near you: https://t.co/DpCtErzqfZ;Wed Oct 24 19:55:21 +0000 2018;0;1
1608;@sarahmlennox @AWCanada This is so great!!;Wed Oct 24 19:57:42 +0000 2018;0;0
1607;@Vero1472 😍 😍 😍;Wed Oct 24 20:22:16 +0000 2018;0;1
1606;@photoaz Hey Michael, thanks for reaching out. Demand is at an all-time high and product is flying off shelves. We are doing everything we can to ramp up production and to keep stock full.  Your patience is appreciated and we hope you can bear with us while we work through these kinks!;Wed Oct 24 20:27:22 +0000 2018;0;1
1605;"@Frenchgurl510 @WholeFoods We've noticed #BeyondSausage is flying off shelves &amp; are taking the necessary steps to pick up production. In the meantime, we recommend calling your store ahead of time to find out when their next shipment is coming. We've heard some stores will set some aside for customers!";Wed Oct 24 20:29:14 +0000 2018;0;1
1604;@jaymilowenthal Hey Jaymi, thanks for the feedback! I will pass this along to our team as  we're always looking to improve our products based off of what our consumers tell us.;Wed Oct 24 20:31:02 +0000 2018;0;0
1603;@RosenfeldReport It was so great having you, can't wait for the full story!;Wed Oct 24 22:38:55 +0000 2018;0;1
1602;"@SarahShevon Hey Sarah, thanks for the feedback! I will pass your recommendation on to our R&amp;D team.";Wed Oct 24 22:51:08 +0000 2018;0;1
1601;@Mundito21 @WMCSIMatters Not at the moment, stay tuned for future updates!;Wed Oct 24 22:51:44 +0000 2018;0;1
1600;@ekrga48 In an effort to be able to keep up with consumer demand, we've decided to discontinue the Beast Burger to enable us to produce more popular Beyond Meat products. We're sorry to share this news but we hope you'll give some of our other products a try: https://t.co/sYwugwf1ur.;Wed Oct 24 23:05:39 +0000 2018;0;0
1599;@rdipego @RosenfeldReport @WholeFoods We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Thu Oct 25 16:35:48 +0000 2018;0;0
1598;@thesarahdeex We'll be in Canadian grocery stores as soon as we can!;Thu Oct 25 16:36:43 +0000 2018;0;3
1597;@er_sagt Thank for reaching out, Matt! We've noticed product is flying off the shelves and are doing everything we can to ramp up production to keep shelves full.  We appreciate your patience and hope you can bear with us a little longer as we work through these kinks.;Thu Oct 25 16:45:44 +0000 2018;0;0
1596;@Fhajad Thanks for letting us know, Chris! We recommend reaching out to the manager of the meat department at your local retailer and informing him of this issue.;Thu Oct 25 16:52:18 +0000 2018;0;0
1595;@ekrga48 Thank you for your feedback, we are always looking to improve our products based off of what our consumers tell us.;Thu Oct 25 16:54:34 +0000 2018;0;0
1594;@rdipego @RosenfeldReport @WholeFoods That's great to hear! #BeyondSausage is a great pizza topping as well 😋;Thu Oct 25 16:56:19 +0000 2018;0;1
1593;@dmorg91 So excited to have you and Charity as part of the Beyond Meat family 🥳;Thu Oct 25 17:18:53 +0000 2018;0;2
1592;@MbyMStrahan @carosconcoction @michaelstrahan So delicious 😋;Thu Oct 25 17:19:50 +0000 2018;0;0
1591;@simon_price01 @honestburgers We're so happy you were able to get the #BeyondBurger from @honestburgers! We can't wait to be in more than 350 Tesco stores in the UK later this year. Stay tuned for more 😋;Fri Oct 26 16:39:42 +0000 2018;0;1
1590;"""If our products have the same compositional structure, deliver the same nutritional values and offer the same delicious &amp; satisfying sensory experience, why shouldn’t that be called meat?""

Inside the food lexicon debate the FDA has the final ruling on➡️ https://t.co/ZHyIXkVspZ";Fri Oct 26 18:05:48 +0000 2018;14;65
1589;#GoBeyond Play of the Week @DeAndreHopkins https://t.co/HNb4lrUHqA;Fri Oct 26 19:14:33 +0000 2018;9;49
1588;"ICYMI, last week we welcomed NFL linebacker @dmorg91 &amp; plant-based chef @ChefCharity to our fam as official Beyond Ambassadors! Derrick &amp; Charity Morgan are major champions of the #plantbased movement and have introduced over 20 NFL athletes to the #FutureofProtein. 

#GoBeyond https://t.co/yyskNz7CSa";Mon Oct 29 18:43:39 +0000 2018;21;75
1587;"""The goal, ultimately, is to provide enough tasty, plant-based meat to save the planet.""

https://t.co/TnS5qf8TwW";Tue Oct 30 01:00:07 +0000 2018;38;214
1586;"There are now 25,000 ways to get your hands on a #BeyondBurger!

Hungry? Check our locator to find the location closest to you ➡️https://t.co/DpCtErhORp https://t.co/emg6R9yR2I";Tue Oct 30 15:47:31 +0000 2018;34;104
1585;@tgp7777777 Working on updating that today. Thanks for the patience!;Tue Oct 30 16:07:21 +0000 2018;0;0
1584;@deandobe @AWCanada We're excited to expand internationally and will be in Canadian grocery stores as soon as we can. Stay tuned for updates!;Tue Oct 30 17:10:50 +0000 2018;0;6
1583;@LisaLeysen @EstherThePig The #BeyondBurger is at all Honest Burger locations in the UK and will be in more than 350 Tesco stores later this year. Stay tuned for more updates!;Tue Oct 30 17:11:52 +0000 2018;0;2
1582;@TVNYX We will be in Canadian grocery stores as soon as we can!;Tue Oct 30 22:28:58 +0000 2018;1;3
1581;#Halloween #BeyondBurger https://t.co/bKyF8x1TAf;Wed Oct 31 19:24:54 +0000 2018;6;60
1580;@leesutton @AWCanada We will be in Canadian grocery stores as soon as we can!;Wed Oct 31 20:27:48 +0000 2018;0;2
1579;".@libertechan wins best #HalloweenCostume if you ask us! 🎃

#BeyondBurger @VeggieGrill https://t.co/7MRkWS0nUq";Wed Oct 31 21:34:06 +0000 2018;10;80
1578;"Did you know The #BeyondBurger is in over 13,000 retail stores, most recently launching in @Publix, @sproutsfm, @WeisMarkets, and @acmemarkets?  

Check our locator to find a meat case closest to you ➡️ https://t.co/DpCtErzqfZ https://t.co/zAjZIdCMlm";Thu Nov 01 18:08:58 +0000 2018;35;168
1577;@canadacanes @Publix @sproutsfm @WeisMarkets @acmemarkets We will be in Canadian grocery stores as soon as we can!;Thu Nov 01 18:11:58 +0000 2018;0;0
1576;@HoveSweetHove99 @Publix @sproutsfm @WeisMarkets @acmemarkets We will be in Tesco stores later this month, stay tuned for more!;Thu Nov 01 18:12:25 +0000 2018;0;3
1575;@samknowsnow @spencergoldade @Publix @sproutsfm @WeisMarkets @acmemarkets The #BeyondBurger is currently sold at @AWCanada. We will be in Canadian grocery stores as soon as we can!;Thu Nov 01 18:53:49 +0000 2018;0;1
1574;@Ms_Vegan @FollowYourHeart @findingvegan @BuzzFeedFood @livekindlyco ❤️;Thu Nov 01 19:03:50 +0000 2018;0;2
1573;@jmp1932 Hey Judie, Beyond Sausage is flying off shelves faster than expected. We are taking all of the necessary steps to pick up production. We recommend calling your store ahead of time to find out when their next shipment is coming in and see if they can set some aside for you.;Thu Nov 01 23:11:40 +0000 2018;0;0
1572;@SRHagio @Publix @sproutsfm @WeisMarkets @acmemarkets Thanks for reaching out Sam. Sorry for the frustration. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Thu Nov 01 23:22:52 +0000 2018;0;0
1571;@CGLuis14 @Publix @sproutsfm @WeisMarkets @acmemarkets Hey Luis! Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen. Stay tuned as we grow!;Thu Nov 01 23:23:21 +0000 2018;0;0
1570;@mumdidwhat @Publix @sproutsfm @WeisMarkets @acmemarkets Hey Tanya, we've begun working with distributors on a limited basis to get our products out to a few countries, including Australia. We're working on plans to expand further in the months and years ahead, but it's still taking shape. Stay tuned for more!;Thu Nov 01 23:24:59 +0000 2018;0;1
1569;@JamesBondOHMS @Publix @sproutsfm @WeisMarkets @acmemarkets Good news! The Beyond Burger is now on menu at all Honest Burger and All Bar One locations. We will be in Tesco Supermarkets this November, so stay tuned for updates!;Thu Nov 01 23:28:44 +0000 2018;0;1
1568;@cguarany @Publix @sproutsfm @WeisMarkets @acmemarkets Hey Carlos, we will be in Canadian grocery stores as soon as we can!;Thu Nov 01 23:29:33 +0000 2018;0;3
1567;@wamee @Publix @sproutsfm @WeisMarkets @acmemarkets Thanks for reaching out Stephanie! Demand for our products is through the roof and we're working hard to ramp up our production to feed all our hungry fans. We hope you can bear with us a little longer while we start to see those effects.;Thu Nov 01 23:31:29 +0000 2018;0;1
1566;@NYCenglessons @Publix @sproutsfm @WeisMarkets @acmemarkets This is so great to hear!;Thu Nov 01 23:32:42 +0000 2018;0;0
1565;@AlaricCDX @Publix @sproutsfm @WeisMarkets @acmemarkets We're sorry for your experience, thank you for taking the time to share your feedback with us.;Thu Nov 01 23:34:07 +0000 2018;0;0
1564;@ymgueguen Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;Thu Nov 01 23:34:27 +0000 2018;0;0
1563;@LostinNJ @Publix @sproutsfm @WeisMarkets @acmemarkets Hey Staphanie! Beyond Sausage is flying off shelve. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. We hope you can bear with us while we work out the kinks!;Thu Nov 01 23:36:06 +0000 2018;0;1
1562;@pepprgrl @Publix @sproutsfm @WeisMarkets @acmemarkets Thanks for your feedback Katrina, We'll be sure to pass this along to the right team as we're always looking to improve our products based off of what our consumers tell us.;Thu Nov 01 23:36:53 +0000 2018;0;1
1561;@lalonde019 Hey Franco, we will be in Canadian grocery stores as soon as we can!;Thu Nov 01 23:37:38 +0000 2018;0;0
1560;@samknowsnow @Publix @sproutsfm @WeisMarkets @acmemarkets We are excited to grow internationally and will be in Canadian grocery stores as soon as we can!;Thu Nov 01 23:38:12 +0000 2018;1;1
1559;@dragon15a @Publix @sproutsfm @WeisMarkets @acmemarkets The #BeyondBurger is now on the menu at all Honest Burger and All Bar One locations. We will be in Tesco Supermarkets this November, so stay tuned for updates!;Fri Nov 02 18:26:23 +0000 2018;0;2
1558;@smartstar79 @Publix @sproutsfm @WeisMarkets @acmemarkets So happy to hear the products are convenient for you!;Fri Nov 02 18:26:57 +0000 2018;0;1
1557;"Stocking up for the weekend like... 

📷: @joshentis https://t.co/6GydRN9ATy";Fri Nov 02 22:00:28 +0000 2018;13;119
1556;@Brian_vinyl @joshentis @FollowYourHeart 🙌;Fri Nov 02 22:17:28 +0000 2018;0;1
1555;@dirtiedan93 Haha true!;Fri Nov 02 22:18:33 +0000 2018;0;3
1554;"#Saturday 

Full recipe here: https://t.co/G9X4EdPh66 https://t.co/ATW3CNK8lz";Sat Nov 03 20:33:23 +0000 2018;14;83
1553;"""The goal, ultimately, is to provide enough tasty, plant-based meat to save the planet.""

https://t.co/TnS5qf8TwW";Sun Nov 04 00:24:00 +0000 2018;38;181
1552;"In case you missed it... there are now 25,000 ways to get your hand on a Beyond Burger. 

https://t.co/TZ9OUcGbjH";Sun Nov 04 23:43:00 +0000 2018;33;186
1551;@Oolacile Hi there, sorry for the inconvenience. In order to produce more of our fresh Beyond Meat products, the rate of production for Beyond Chicken has slowed down a bit. We hope to be in a better place ASAP with our frozen products and will be sure to keep you all updated!;Tue Nov 06 06:39:39 +0000 2018;0;1
1550;@pakaloloprncss Sounds like a good dare to us 😏;Tue Nov 06 18:16:34 +0000 2018;0;0
1549;#GoVote #GoBeyond https://t.co/F9zkz99HaB;Tue Nov 06 22:41:34 +0000 2018;11;101
1548;@StarPugLord We're so happy to hear you enjoyed the first of many Beyond Burgers!;Tue Nov 06 23:27:56 +0000 2018;0;1
1547;"@WoundedGod We are working as fast as we can to get Beyond Sausage into as many neighborhood stores ASAP.  To stay up to date on the most recent Beyond Sausage announcements, sign up for our newsletter here:
https://t.co/O2H2etM0Vp";Tue Nov 06 23:37:41 +0000 2018;0;1
1546;@ldstarr18 Part of our #FutureofProtein vision is to reimagine the meat section as the Protein Section of the store. This way, we can help people on their journey to eating more plant-based by allowing them to purchase plant-based foods where they are already finding other forms of protein.;Wed Nov 07 00:01:41 +0000 2018;0;0
1545;@notthegymnast 5-second rule?;Wed Nov 07 20:44:22 +0000 2018;0;2
1544;@Darbys_Kits Looks delicious 😋;Wed Nov 07 20:47:34 +0000 2018;0;0
1543;@giaalexamclean @joshentis We hope to be in Canadian grocery stores as soon as we can. Stay tuned as we grow! 🇨🇦;Wed Nov 07 20:48:44 +0000 2018;0;1
1542;@Veganbob Product is flying off shelves faster than expected. We are taking the necessary steps to pick up production. In the meantime, we recommend calling your store ahead of time to find out when their next shipment is coming. We've heard some stores will set some aside for customers.;Wed Nov 07 23:54:56 +0000 2018;0;1
1541;"FYI - neighborhood favorite, @sproutsfm launched The #BeyondBurger in their meat case! 

Check our store locator to find the closest location to you ➡️ https://t.co/D6rP3RupcY https://t.co/B7qYds8unx";Thu Nov 08 01:30:05 +0000 2018;13;86
1540;"@wcsek @VegFlavours There are so many fun ways to use The #BeyondBurger! Check out our recipe page, where you can even use our new ""advanced search"" feature to find specific holiday recipe inspiration: https://t.co/ec9ZdjyYAE";Thu Nov 08 18:28:29 +0000 2018;0;1
1539;@katdraganac @AWCanada Sounds like a tasty 24 hours 😋;Thu Nov 08 18:29:28 +0000 2018;0;1
1538;@ineedale @sproutsfm The #BeyondBurger is now on menu at all Honest Burger and All Bar One locations. We will be in Tesco Supermarkets this November, so stay tuned for updates!;Thu Nov 08 18:34:55 +0000 2018;1;2
1537;@ComfortingVegan Yum! Excited to see what delicious meal you create 😋;Thu Nov 08 18:37:52 +0000 2018;0;1
